,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
235,2018-07-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,140,3,Unhealthy for Sensitive Groups
236,2018-07-10 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
237,2019-07-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
238,2019-07-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
239,2019-07-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
240,2019-08-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,90,2,Moderate
241,2019-08-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
242,2019-08-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
243,2018-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
244,2018-07-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
245,2018-09-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
246,2019-10-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,25,1,Good
247,2019-10-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
248,2019-10-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,8,1,Good
249,2018-06-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,133,3,Unhealthy for Sensitive Groups
250,2018-06-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,62,2,Moderate
251,2018-02-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,22,1,Good
252,2018-02-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
253,2019-01-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,25,1,Good
254,2019-01-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good
255,2019-01-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
256,2018-07-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,206,5,Very Unhealthy
257,2018-07-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,91,2,Moderate
258,2019-07-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,119,3,Unhealthy for Sensitive Groups
259,2019-07-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate
260,2019-07-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,22,1,Good
261,2018-01-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
262,2018-01-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate
263,2018-01-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
264,2019-08-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,84,2,Moderate
265,2019-08-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
266,2019-08-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
267,2018-11-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
268,2018-11-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good
269,2018-11-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,15,1,Good
270,2018-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,23,1,Good
271,2018-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate
272,2018-12-02 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
273,2018-05-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,54,2,Moderate
274,2018-05-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
275,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
276,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good
277,2019-09-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
278,2018-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
