,date,time,aqsid,site,gmtoffset,parameter,units,value,source
2186736,12/03/19,08:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,33.0,New York Dept. of Environmental Conservation
2186755,12/03/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.5,New York Dept. of Environmental Conservation
2186756,12/03/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
2186760,12/03/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
2186761,12/03/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
2186762,12/03/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
2186763,12/03/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.2,New York Dept. of Environmental Conservation
2186770,12/03/19,08:00,360810124,Queens,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
2186771,12/03/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.0,New York Dept. of Environmental Conservation
2186772,12/03/19,08:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,1.8,New York Dept. of Environmental Conservation
2186773,12/03/19,08:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
2201619,10/28/19,03:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
2201620,10/28/19,03:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,10.0,New York Dept. of Environmental Conservation
2201621,10/28/19,03:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
2201622,10/28/19,03:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,12.0,New York Dept. of Environmental Conservation
2201644,10/28/19,03:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
2201645,10/28/19,03:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
2201649,10/28/19,03:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
2201650,10/28/19,03:00,360610134,Division Street,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
2201651,10/28/19,03:00,360610135,CCNY,-5.0,OZONE,PPB,12.0,New York Dept. of Environmental Conservation
2201652,10/28/19,03:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
2201660,10/28/19,03:00,360810124,Queens,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
2201661,10/28/19,03:00,360810124,Queens,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
2201662,10/28/19,03:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,6.3,New York Dept. of Environmental Conservation
2201663,10/28/19,03:00,360850111,Fresh Kills,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
2201664,10/28/19,03:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
2216607,11/26/19,21:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,3.0,New York Dept. of Environmental Conservation
2216608,11/26/19,21:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,32.0,New York Dept. of Environmental Conservation
2216609,11/26/19,21:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,12.5,New York Dept. of Environmental Conservation
2216610,11/26/19,21:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,5.0,New York Dept. of Environmental Conservation
2216631,11/26/19,21:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,12.9,New York Dept. of Environmental Conservation
